"","state","PUMA","count","incarcerated_parent_per_pop","incarcerated_parent_density"
"1259","NC","01207",31.5577723438045,5.08422302945134,0.211701571099789
"1260","NC","01208",45.4981734303443,4.5186387357577,0.131543024011311
"1261","NC","01301",76.7585584899554,14.7897029845772,0.301374625237156
"1262","NC","01302",69.5742747928304,13.7880053097167,0.134644545748605
"1263","NC","01400",36.041897190697,6.20128995022316,0.0347068440855876
"1264","NC","01500",44.5186273418806,7.4185348011799,0.0177547082277556
"1265","NC","01600",59.3085757912607,8.94278887081736,0.0527269527611402
"1266","NC","01701",49.0592944576853,8.44830281689088,0.319977751893349
"1267","NC","01702",53.8312807321615,11.0536510743658,0.468081912522299
"1268","NC","01703",60.4575668947989,9.19926459141797,0.0648929539784107
"1269","NC","01704",55.2084649052141,9.38600219401804,0.109755736102137
"1270","NC","01801",50.8139612349086,9.14907476321725,0.300040863787487
"1271","NC","01802",42.4105733870405,9.84232383082862,0.21038965530398
"1272","NC","01803",49.087741332898,7.8817824876201,0.0703535290750235
"1273","NC","01900",24.6140143214754,6.20156571465744,0.0107482119728151
"1274","NC","02000",22.9945623724869,4.96214121115383,0.0120277180700019
"1275","NC","02100",30.1694828863381,6.26963484753493,0.0121280321541173
"1276","NC","02201",36.4017159256832,7.96013906094099,0.0760973470039816
"1277","NC","02202",32.7333446730386,6.45373514846976,0.0265905662243713
"1278","NC","02300",22.0238806835073,5.29674860113212,0.00446433264010794
"1279","NC","02400",22.3611759601518,4.42270094148572,0.00524858524822995
"1280","NC","02500",34.9580454973701,7.25571720576382,0.0178599669489477
"1281","NC","02600",37.4324952206273,9.03293803586566,0.0145721535901284
"1282","NC","02700",30.2099569345555,5.85237445458262,0.0198551018976005
"1283","NC","02800",40.7160358169715,5.49400024517224,0.0379451109240067
"1284","NC","02900",43.0863949098198,6.28631381818205,0.0523532888460065
"1285","NC","03001",33.9332271529679,7.95247882656852,0.0473726411134963
"1286","NC","03002",44.3872938446785,9.5170012531472,0.196689030098382
"1287","NC","03101",62.0660723564162,23.4920788631401,0.863883519892201
"1288","NC","03102",93.1123986636412,25.5102462092168,0.630010999087045
"1289","NC","03103",60.6810139804446,13.5630339697015,0.642314672108566
"1290","NC","03104",45.6053206118291,7.64933254140039,0.316522818003877
"1291","NC","03105",51.4110647070745,11.6896463635913,0.404096079766575
"1292","NC","03106",78.6124893257912,9.97114273538702,0.219753735407364
"1293","NC","03107",72.4129495957137,12.4164865561923,0.310887726147605
"1294","NC","03108",58.6570944671093,7.6386371229469,0.247097792778244
"1295","NC","03200",54.0784264157081,7.4181654891232,0.154625738255424
"1296","NC","03300",39.6970671586471,5.47696842696566,0.0241820339547133
"1297","NC","03400",43.3756155408905,8.77338502040665,0.03197557008897
"1298","NC","03500",48.378751894987,6.10919963315911,0.0329260677730582
"1299","NC","03600",36.8144633363452,6.19772110039481,0.0179960070621225
"1300","NC","03700",35.9790762442961,7.58892137614345,0.0115072455362094
"1301","NC","03800",52.7252501982163,9.71714894917367,0.0338473036582683
"1302","NC","03900",35.7608819237701,7.69547706558428,0.00780845941378192
"1303","NC","04000",38.6698717547276,9.7552653266215,0.026775102975467
"1304","NC","04100",42.9106618055188,8.35325322279907,0.0129812025887437
"1305","NC","04200",67.5778906068278,9.58687623873285,0.0398147182951753
"1306","NC","04300",30.6449784904648,9.25271089687948,0.0153092733984982
"1307","NC","04400",30.3353846791772,6.81694037734319,0.00410645466052303
"1308","NC","04500",36.2465697595082,9.19730265402389,0.027708699224419
"1309","NC","04600",31.2705542791319,6.0135681306023,0.0115619226154634
"1310","NC","04700",50.7288128779798,10.24410599313,0.0897182514933609
"1311","NC","04800",32.1326288878502,7.8930554870671,0.0118115513623849
"1312","NC","04900",34.627693638897,16.966042939195,0.00655991995272355
"1313","NC","05001",49.653632224012,16.0173007174232,0.347424213227445
"1314","NC","05002",40.6447055676648,9.2081344738706,0.0310571351788279
"1315","NC","05003",50.1654438568242,9.64534586749168,0.198919762954095
"1316","NC","05100",50.2328494039984,10.9273111603216,0.025702841245608
"1317","NC","05200",57.7845377330444,9.42344059573458,0.0187132410553299
"1318","NC","05300",40.3317617485713,7.25652424407544,0.0149072346746842
"1319","NC","05400",47.5732482271639,5.51573892488857,0.138977524945886
"1320","ND","00100",61.6885378986153,7.7978179621559,0.000763424635847325
"1321","ND","00200",55.5423103419818,11.6465318393755,0.00105745645622198
"1322","ND","00300",36.2659848792589,6.69237587733141,0.00163102612564363
"1323","ND","00400",25.3458891884932,7.14572573681793,0.001128118069332
"1324","ND","00500",51.7077913991282,9.16479819197594,0.0113236205322338
"1325","NE","00100",25.2869615209717,5.95688139481076,0.000372666622416178
"1326","NE","00200",56.7497452047731,7.17624496772548,0.00237937731724369
"1327","NE","00300",32.437331758565,7.01044559294684,0.00141069567821519
"1328","NE","00400",35.6911040550977,7.92431262324549,0.000857645413999988
"1329","NE","00500",25.7710299505923,5.9932627792075,0.00182087860058055
"1330","NE","00600",36.7204526538997,6.36954946294878,0.00183405214109074
"1331","NE","00701",25.6214867308177,5.58567402023495,0.00437945399963963
"1332","NE","00702",70.412532181206,8.3924353016932,0.109979006963665
"1333","NE","00801",57.9941233072247,7.43228544242274,0.0553549800715178
"1334","NE","00802",53.2705942579937,11.0726656117218,0.0466579226360527
"1335","NE","00901",81.4964391560586,8.4645242164581,0.177926423736983
"1336","NE","00902",52.67716612242,7.1552792885656,0.234028896141643
"1337","NE","00903",73.567292000588,13.9016046864301,0.58418705509263
"1338","NE","00904",65.2383369272305,29.939576377802,0.950135135139749
"1339","NH","00100",22.8659065075861,6.54433500503322,0.00247156631104313
"1340","NH","00200",20.4965806465285,4.35819278046535,0.00486810656415222
"1341","NH","00300",26.5754472219207,5.41031091651481,0.018651645476764
"1342","NH","00400",21.7668758567712,5.36658674969705,0.0123020100982006
"1343","NH","00500",21.633215853686,5.70797252076147,0.00653289276570383
"1344","NH","00600",20.6259765643224,5.10417633366058,0.0137465562268794
"1345","NH","00700",25.4863948917409,3.40681658758734,0.0215770838049188
"1346","NH","00800",26.8723573606053,10.0570199702864,0.297000916974433
"1347","NH","00900",22.0407898907757,4.36019582409015,0.0826079368877309
"1348","NH","01000",38.8779633429789,5.43899878888904,0.0334589817321557
"1349","NJ","00101",13.2654759741811,3.8551223406513,0.0235314783444709
"1350","NJ","00102",27.8349992593508,4.62605937499597,0.0239664395567487
"1351","NJ","00301",32.4519460816978,9.14654624625079,0.907430405426844
"1352","NJ","00302",14.3332696366224,3.54082747940276,0.200892650208289
"1353","NJ","00303",15.4577137625113,3.16238006598022,0.404762694618075
"1354","NJ","00304",20.544849156152,4.88001167604561,0.524511626222917
"1355","NJ","00305",6.20768043393218,1.37065145372757,0.0458213388149268
"1356","NJ","00306",8.42245769662315,2.09566003897068,0.0512606088108165
"1357","NJ","00307",15.6341731478995,2.95262948968829,0.27586458681352
"1358","NJ","00308",7.9161210945278,1.28175535856992,0.0820100911512829
"1359","NJ","00400",39.8638278887531,5.44513425607882,1.769521500574
"1360","NJ","00501",16.6981709533774,2.63461201536406,0.568462289261293
"1361","NJ","00502",13.7945633498432,5.0977691610655,0.179859658027306
"1362","NJ","00503",10.1555122452392,2.23689697031701,0.0265901914720115
"1363","NJ","00601",28.3363052064036,9.49926423278698,1.49847070055267
"1364","NJ","00602",31.9862475471337,6.89804777811811,0.981585789691899
"1365","NJ","00701",24.2464936817942,4.60172588380987,0.685449703370174
"1366","NJ","00702",25.3861034606794,6.40901374922479,2.08633617219862
"1367","NJ","00703",31.7563185817766,8.2227650393,0.510251172024711
"1368","NJ","00800",11.7819044709026,2.40250906829172,0.0104122736266005
"1369","NJ","00901",11.1783522410482,2.33466003363579,0.0504812722703811
"1370","NJ","00902",14.0504521520882,2.9029859818364,0.0644846331860077
"1371","NJ","00903",21.2208968818065,5.36558707504589,0.238901338134703
"1372","NJ","00904",13.695613256964,2.98119574596518,0.160753315126068
"1373","NJ","00905",23.1097555986972,5.41592584923769,0.366518637086368
"1374","NJ","00906",18.3148548156932,3.94461658748507,0.219178893452617
"1375","NJ","00907",18.1504498595992,3.41173869541338,0.241466753112206
"1376","NJ","01001",9.28418151039431,1.64671541511073,0.0226858464907176
"1377","NJ","01002",18.2022870751397,4.65769884215448,0.0696202983525591
"1378","NJ","01003",22.5402906580878,4.40670394097514,0.190791807536113
"1379","NJ","01101",16.1801498724588,6.41051896690128,0.0313433808851237
"1380","NJ","01102",10.5844347143251,1.90196490823453,0.0256689350101612
"1381","NJ","01103",12.564021607404,3.9189087983169,0.134531352201335
"1382","NJ","01104",7.01285308525844,1.32118558501478,0.0369447662643515
"1383","NJ","01105",9.13588026058145,2.16182684822088,0.0511014778757493
"1384","NJ","01106",6.62865413928563,1.27034383658214,0.0206683114501546
"1385","NJ","01201",8.49265510946876,1.63446018273071,0.00655028672879162
"1386","NJ","01202",13.6537644840162,4.19728388687862,0.0595303062032755
"1387","NJ","01203",10.6797132872041,0.978623044736008,0.0868004700843417
"1388","NJ","01204",9.62373553789706,3.8541191581486,0.0166208635387476
"1389","NJ","01205",9.2575497109547,2.33776507852391,0.0664983837519911
"1390","NJ","01301",56.6808734265849,10.2385970785016,1.18658446196523
"1391","NJ","01302",85.0393953275156,11.8192349308569,4.43050200023783
"1392","NJ","01401",19.7797152438778,4.84085052468863,0.629469838415842
"1393","NJ","01402",103.22894171675,13.0487854527557,2.52772148248218
"1394","NJ","01403",13.600734989359,2.8615053627938,0.146584031565175
"1395","NJ","01404",19.7980315567782,4.6485164491144,0.192645866975546
"1396","NJ","01501",11.4160935441108,2.03169488238313,0.0318160836193052
"1397","NJ","01502",15.9864453371209,2.79629969164262,0.0341493916073265
"1398","NJ","01503",12.5794171836796,2.9570797328819,0.066180469911408
"1399","NJ","01504",10.5200868879148,1.78155578118794,0.0461033719174288
"1400","NJ","01600",13.3061801506504,2.34016534482068,0.00958733892510358
"1401","NJ","01700",12.3634135473251,2.72142054750719,0.0131835203462545
"1402","NJ","01800",37.2455357666053,6.70004241169371,1.05566910107592
"1403","NJ","01901",37.354847832618,10.1205223063175,0.912012594684194
"1404","NJ","01902",12.8822980561812,2.99379457498982,0.149691622549066
"1405","NJ","01903",26.4460093117059,5.72548372195408,0.523603515580031
"1406","NJ","01904",31.5742480885418,6.12141296792203,0.52702450262027
"1407","NJ","02001",25.2816650127075,4.74238698418824,0.147956322640065
"1408","NJ","02002",15.7036672426669,2.66434802216947,0.0544808089933365
"1409","NJ","02003",47.8429721650254,6.79974021674608,0.0287725417641803
"1410","NJ","02101",30.9244572405147,5.29256499067511,0.464673646743914
"1411","NJ","02102",19.5409669054635,6.13338572048445,0.24908842935906
"1412","NJ","02103",32.6167108027831,4.40825933271836,0.0972762235515402
"1413","NJ","02104",17.3762498515606,3.58642927792789,0.160801341734217
"1414","NJ","02201",17.3398957277775,3.09309592004594,0.100389780689117
"1415","NJ","02202",21.8856415579122,3.33877064193932,0.0312919106668018
"1416","NJ","02301",46.156310297095,9.73145905483765,0.750187766299143
"1417","NJ","02302",15.2051483487575,2.49305596798778,0.0407716672850903
"1418","NJ","02303",16.0312278217917,4.66430835664584,0.101718432073665
"1419","NJ","02400",34.3595621497602,8.04485182621404,0.0239872407027888
"1420","NJ","02500",12.9576878304854,2.81138811683346,0.0100852699153303
"1421","NJ","02600",12.1331512989788,3.45673826181732,0.00749643334853856
"1422","NM","00100",39.5287954161821,7.41072280018411,0.00106628204323439
"1423","NM","00200",30.7427761271542,7.6627059140464,0.00971551760142752
"1424","NM","00300",60.0135388011965,12.7797143954848,0.00155758351741883
"1425","NM","00400",28.630659250618,10.8531687834033,0.000506319389890611
"1426","NM","00500",56.1485383777966,11.1031319710889,0.0113422237406013
"1427","NM","00600",55.1456316666393,9.14066495386031,0.00573237145018787
"1428","NM","00700",26.7662339777312,6.31726079247845,0.00670361130254478
"1429","NM","00801",39.9533034450111,10.2839905907365,0.339473604855552
"1430","NM","00802",31.2634366637629,7.33023133968649,0.603279810999727
"1431","NM","00803",33.0437989765872,19.6338674846032,0.113660965923468
"1432","NM","00804",35.5176133531064,10.1624072541077,0.365889313834309
"1433","NM","00805",55.7043963706815,11.4406236127914,0.0511955899426962
"1434","NM","00806",34.5138273830156,5.60107552466985,0.228094340492919
"1435","NM","00900",21.2389994721642,7.09385419911966,0.000259878423842287
"1436","NM","01001",13.4501760556966,2.6035958295967,0.00140125992190947
"1437","NM","01002",31.7449893704913,7.37055708625291,0.109987214697849
"1438","NM","01100",39.0384287104165,6.17598935459841,0.000859273332494434
"1439","NM","01200",29.9773772706839,4.93942614445277,0.00134618985636367
"1440","NV","00101",66.8792804576333,11.0053119068016,0.473878503228531
"1441","NV","00102",51.3974458958649,8.13379425476577,0.043652207777476
"1442","NV","00103",57.7089772706157,9.81612132516002,0.00369823613385479
"1443","NV","00200",46.0772280839786,8.06109658572054,0.00559260331587294
"1444","NV","00300",54.3177565025531,8.06739291587006,0.000226245705322129
"1445","NV","00401",68.3985689231997,10.6755999567972,0.788823677044176
"1446","NV","00402",67.5092212874443,11.6495636389032,0.0117530420915665
"1447","NV","00403",109.841865152495,7.57321188310085,0.821313933092807
"1448","NV","00404",63.8378459325947,7.68852775293204,0.0122199979965503
"1449","NV","00405",52.228555857656,10.30149030723,1.11248954829437
"1450","NV","00406",79.1223318338908,13.463047785246,1.48883338078093
"1451","NV","00407",74.5785655939669,18.1943316891844,0.027600694054065
"1452","NV","00408",113.144868127627,16.6929578234918,0.493122171739724
"1453","NV","00409",88.4009908459854,22.5225454384676,1.00559506243255
"1454","NV","00410",65.5979096494115,10.4256054751131,1.13514129810452
"1455","NV","00411",89.8872353407265,8.53629965249064,0.450132836306173
"1456","NV","00412",76.5171212690531,12.1706889246148,0.0123139781425563
"1457","NV","00413",70.408424140197,10.0943977261931,0.747359851290481
"1458","NY","00100",14.8269922988794,3.92144731522862,0.00203338806743294
"1459","NY","00200",29.8646543004515,5.15797138177055,0.00176697509472851
"1460","NY","00300",17.2316977814591,4.16224584093214,0.00375007438199387
"1461","NY","00401",7.59955900180116,1.87412059230608,0.00134725979307782
"1462","NY","00402",21.4432407103373,4.51436646533417,0.0320060239330534
"1463","NY","00403",7.43732067392532,2.10331467022775,0.00150139396147289
"1464","NY","00500",22.2420597180781,4.31047668955002,0.00273324085544084
"1465","NY","00600",8.37728018927949,1.87621056870761,0.00246983531249018
"1466","NY","00701",28.2654807831579,7.25127777915802,0.428354157161973
"1467","NY","00702",13.9465068003061,2.35622686269743,0.0272105217885377
"1468","NY","00703",17.7508938782613,3.07108890627358,0.0336388304009768
"1469","NY","00704",14.393935992879,3.37331520808039,0.00448461243549669
"1470","NY","00800",12.8491872514863,2.58691106331514,0.00280240911940994
"1471","NY","00901",14.806561804447,3.32881335531633,0.0625732575376076
"1472","NY","00902",25.6420004790046,7.02713085201551,0.702200762190526
"1473","NY","00903",27.1962932422296,5.35781978767329,0.474190716900237
"1474","NY","00904",19.6813810929484,4.1304052660962,0.114268899926608
"1475","NY","00905",8.44358623249777,1.92908070196431,0.00329566560842513
"1476","NY","00906",14.4449469567422,2.56570993903058,0.0308311615274696
"1477","NY","01000",12.581137180224,3.51624851319842,0.00370709826346009
"1478","NY","01101",14.3215147467278,3.68257000430132,0.0841791672287042
"1479","NY","01102",10.3142906815573,2.74974424994862,0.00371527143660107
"1480","NY","01201",10.98130360637,2.8092360210719,0.0736578985189251
"1481","NY","01202",9.17130899961914,1.93446720093211,0.0662012281311368
"1482","NY","01203",10.6228493234043,2.23262911378821,0.0170456144984256
"1483","NY","01204",23.2566746762771,5.04045831735524,0.155577775598954
"1484","NY","01205",39.5330197446654,6.05498847368134,0.541215878820075
"1485","NY","01206",24.5307378364584,6.00360691053803,0.644891282906787
"1486","NY","01207",17.6204675416305,3.09619883001767,0.0088069274576464
"1487","NY","01300",12.0722883556336,3.38823697884748,0.0037758580115942
"1488","NY","01400",11.5708840808021,2.45197797855523,0.00431001701273334
"1489","NY","01500",7.677185383229,2.0765986971136,0.00255343049560484
"1490","NY","01600",8.68723757012328,1.91475370732274,0.00356250644815247
"1491","NY","01700",19.0791254657161,2.8236089190049,0.0352320309681704
"1492","NY","01801",11.3003889834134,3.03529115858538,0.0313935912004941
"1493","NY","01802",10.7829455105118,2.35384097588121,0.00591916669861762
"1494","NY","01900",19.9427944528535,4.10768165867219,0.0115914278638698
"1495","NY","02001",20.4405049378822,6.52634257275933,0.323218376982116
"1496","NY","02002",20.0396584475586,2.81970711236226,0.0152310605022382
"1497","NY","02100",16.7940477852264,4.95984872570183,0.00497184743520361
"1498","NY","02201",14.1466938237126,3.78658828257832,0.0921265776761342
"1499","NY","02202",7.74884569762421,1.68489795556082,0.0032724201280434
"1500","NY","02203",7.979085755647,2.0511788574928,0.00117356602863897
"1501","NY","02300",7.9840321876495,2.82820835552586,0.00628153785653026
"1502","NY","02401",16.4789969491546,4.62893172729062,0.0194276699170663
"1503","NY","02402",7.6014212036391,2.00300953982585,0.00160710422798218
"1504","NY","02500",9.2602123156068,2.04645576035509,0.00151944323113496
"1505","NY","02600",11.7836402896148,2.4181490436312,0.00303757292934401
"1506","NY","02701",22.3250867610128,4.5320923185166,0.00520076417683617
"1507","NY","02702",23.4860452233082,4.91442670502369,0.0182533830617379
"1508","NY","02801",23.9039048572787,4.99350425261722,0.0138859794126002
"1509","NY","02802",32.1200012801635,5.3542259176802,0.0777846521744405
"1510","NY","02901",25.3055716807743,6.36938627756716,0.0569460693593531
"1511","NY","02902",26.3113342303091,4.58066403731008,0.0279913995102932
"1512","NY","02903",18.3667481110829,2.37112678945042,0.0234284639342347
"1513","NY","03001",14.3767664727522,4.21853476313152,0.0629570838720088
"1514","NY","03002",21.1386558763915,3.50383820261753,0.129610990383766
"1515","NY","03003",28.7908513824777,4.13008913821226,0.231059427810935
"1516","NY","03101",13.2197794182184,3.13042373152223,0.0205996720512903
"1517","NY","03102",48.0085752951061,7.19984632500091,0.178064326429416
"1518","NY","03103",18.8768373744956,2.96479305394936,0.0307574554377804
"1519","NY","03104",17.7489897667433,3.49320798400774,0.11646739345715
"1520","NY","03105",32.2092441924982,5.27674380611046,0.236513191183204
"1521","NY","03106",47.6316437089528,5.28301283373478,0.908430716377732
"1522","NY","03107",58.611027930293,8.45270088409186,0.914800022675063
"1523","NY","03201",9.12557692564652,1.85630124606317,0.0652346608719915
"1524","NY","03202",12.6046172294623,2.19784084210327,0.0400557841449118
"1525","NY","03203",12.0865857241288,2.88325041129028,0.204235109597552
"1526","NY","03204",26.6578798533582,5.83451080178555,0.682711525031452
"1527","NY","03205",29.1683499350332,6.00789905973908,0.791241515623944
"1528","NY","03206",88.0679538732752,18.0949155276916,2.12153914924209
"1529","NY","03207",17.5107175394787,4.28449169059913,0.402044893282987
"1530","NY","03208",12.7846145220901,3.38485955046072,0.0539557674331584
"1531","NY","03209",12.1673274166348,2.80741287878053,0.244441165391581
"1532","NY","03210",21.1545934114367,4.91395898058926,0.17267632395339
"1533","NY","03211",36.2557476036563,7.73208522150913,1.10979941482651
"1534","NY","03212",10.6942201499472,2.31276387325847,0.189665587884492
"1535","NY","03301",13.0349450340771,2.96450876372005,0.0835458369844829
"1536","NY","03302",14.1435905550147,5.30716343527755,0.111776087055594
"1537","NY","03303",10.6723054100032,2.29413271926122,0.0676572144963497
"1538","NY","03304",13.4625717180002,2.2845022430002,0.0657406495684346
"1539","NY","03305",31.5810758662866,6.78142062836303,0.00745386374492334
"1540","NY","03306",19.3847233145294,3.54512130843625,0.0381265633910593
"1541","NY","03307",29.7921779543845,5.69531216868372,0.256144799460206
"1542","NY","03308",13.2810798070256,2.75827202638123,0.177900355183212
"1543","NY","03309",15.0689151810001,4.14664699532197,0.137551967168471
"1544","NY","03310",69.632411055165,10.8478596440513,0.956376929713372
"1545","NY","03311",18.6739559670613,4.88719077913145,0.105254831321664
"1546","NY","03312",17.062986083493,7.38337779467462,0.136878572361428
"1547","NY","03313",42.2507736470003,7.76097972942694,0.580464728699849
"1548","NY","03701",22.3164172888592,5.3761544902094,1.81539361819275
"1549","NY","03702",52.2424215003861,9.84035063107668,2.99175395121138
"1550","NY","03703",37.8575385551885,12.3757890013692,0.716162124411924
"1551","NY","03704",38.6687216736427,7.11606950195855,3.92363280434504
"1552","NY","03705",45.9750356887446,7.72300280341753,4.04030341470314
"1553","NY","03706",27.4803544443899,4.64195176425505,6.72910184798275
"1554","NY","03707",34.1903487338054,4.93082618024307,8.69772126417505
"1555","NY","03708",44.3705643256283,6.47745464607713,8.57139247935288
"1556","NY","03709",47.3681407745733,5.79426798465728,3.27623737789687
"1557","NY","03710",48.1065978298119,8.5736228532903,2.84586203970341
"1558","NY","03801",44.4410419605636,7.07547237073135,3.60850128595299
"1559","NY","03802",33.5781439285905,10.4507139522535,5.02154394937697
"1560","NY","03803",50.6278979521755,11.1147964768772,12.8519065364441
"1561","NY","03804",38.8665916645586,9.85211449038241,4.70205225424506
"1562","NY","03805",26.9481608828795,4.4535053516575,3.85686782113642
"1563","NY","03806",31.295528356359,7.84545709610404,2.98170105322692
"1564","NY","03807",30.0882781525251,19.5505381108025,2.95005838119792
"1565","NY","03808",15.4872156430767,34.1128097865125,2.23805029967129
"1566","NY","03809",22.1395133831582,7.5330089769167,3.3792934439651
"1567","NY","03810",18.4854054527401,8.58588269983284,1.21418411611547
"1568","NY","03901",13.77194656851,1.89019305085231,0.0838955295126896
"1569","NY","03902",11.8505211265087,2.58293834492344,0.20628641288393
"1570","NY","03903",42.9484355276397,5.62446772232055,0.965028310768596
"1571","NY","04001",26.540355541655,6.11810870024319,2.40630958404031
"1572","NY","04002",36.6125782347111,9.62728851819908,5.58205680384048
"1573","NY","04003",55.0568947806006,14.6701025261393,9.26592528951545
"1574","NY","04004",34.3898246256336,12.3526668913914,4.0600537175924
"1575","NY","04005",26.5744573785274,10.6982517626922,1.65284271508868
"1576","NY","04006",61.4265730318699,14.0083404861733,10.6901412860657
"1577","NY","04007",46.3272756667951,15.4013549424186,6.91325633968741
"1578","NY","04008",62.4871760075249,6.83741941213753,3.84171889762142
"1579","NY","04009",76.240068096644,9.40770830412685,1.2587687646919
"1580","NY","04010",73.1680724050578,14.0088210616615,9.18418108622791
"1581","NY","04011",51.4875677488971,14.7359953488543,11.6516385454848
"1582","NY","04012",22.7564150130443,4.64891011502437,1.50525801990297
"1583","NY","04013",13.0816448987243,4.40163018126659,0.783599857386803
"1584","NY","04014",12.7926298858431,1.38209052353534,1.57231865024595
"1585","NY","04015",43.8787774391687,6.24520031869751,5.83454526585441
"1586","NY","04016",13.1469329309363,2.59001830790707,1.0352903924898
"1587","NY","04017",21.8947083729744,2.81206118327439,2.07363858210687
"1588","NY","04018",13.7956697011348,2.92157342251901,0.458881627093035
"1589","NY","04101",35.5972250591654,9.96283936724473,2.41867548671524
"1590","NY","04102",62.4040442773365,12.3743891091288,4.79428101396
"1591","NY","04103",20.1595413722489,3.65672798335732,0.47567974819937
"1592","NY","04104",14.9884648290412,4.11771011786847,0.581225314188822
"1593","NY","04105",78.0234939679233,10.9337855896753,1.51006096309049
"1594","NY","04106",31.6539008346758,6.54953462335523,1.64286804918238
"1595","NY","04107",46.0165199010774,7.3298056548387,4.33586769640266
"1596","NY","04108",28.2005332549649,9.27344072836729,3.89053586003108
"1597","NY","04109",40.7476010071321,9.2946170180502,2.56916652791578
"1598","NY","04110",47.1631389880019,8.98345504533369,2.47461628144316
"1599","NY","04111",33.0682914014428,6.45486851482389,2.69488023612634
"1600","NY","04112",111.045769389817,9.17051526879321,4.59338933894334
"1601","NY","04113",34.94912007804,8.41134057233213,2.04807995970582
"1602","NY","04114",29.6010071977693,4.69708143411128,0.150690702687907
"1603","OH","00100",42.4884879364589,8.14736106164121,0.00980228276088462
"1604","OH","00200",35.5624319791529,8.34994880938082,0.0148044018975706
