"","state","PUMA","count","foster_per_pop","foster_density"
"1933","tn","02900",36.920936505615,4.72920923602087,0.00440648701804533
"1934","tn","03000",51.6693167969945,4.92370085734653,0.0236214020960574
"1935","tn","03100",38.2434435626133,4.47658241397791,0.00875792604991619
"1936","tn","03201",36.3954608388329,4.13443835497363,0.306838269771498
"1937","tn","03202",38.935020586436,4.42493699129856,0.388654191166389
"1938","tn","03203",48.2444164527223,6.3984637205202,0.380293363742446
"1939","tn","03204",44.7253340718084,5.27670293438041,0.0573859974781609
"1940","tn","03205",33.9239586419497,4.3116368380719,0.118234453924239
"1941","tn","03206",36.5108485134632,4.93523229433134,0.183032955480495
"1942","tn","03207",26.1391278878022,4.26135113919175,0.34803485735901
"1943","tn","03208",46.002007441561,6.3936077055679,0.132694615452472
"1944","tx","00100",24.2749113079681,1.72003906383959,0.000389839534238736
"1945","tx","00200",7.32663430218303,1.21725108858332,0.00306827490348963
"1946","tx","00300",12.0086593833135,0.876032928458818,0.00502601415825437
"1947","tx","00400",9.54611109834386,1.16118612070841,0.000289729316266294
"1948","tx","00501",7.1755176409299,0.402260210838093,0.101039230875512
"1949","tx","00502",21.0801250794089,1.28107718501422,0.00931650459604971
"1950","tx","00600",16.3711688098292,1.6408909301222,0.000635724073109293
"1951","tx","00700",8.0178991179855,0.731960846995207,0.00489004353014681
"1952","tx","00800",15.559622386978,1.22709955733265,0.00216286349800733
"1953","tx","00900",19.0045526391911,1.19210592392367,0.00711430825439519
"1954","tx","01000",13.0608364533856,1.15235896006579,0.00124780965613485
"1955","tx","01100",9.01704363591606,1.16619809052199,0.00184781666610516
"1956","tx","01200",11.7837838463297,1.04800638974828,0.00235765444936343
"1957","tx","01300",8.73963170214099,1.08769529584829,0.00167170080341654
"1958","tx","01400",13.4831707880101,1.15705576143569,0.00644177757778852
"1959","tx","01501",8.7357568696087,1.01946048192423,0.00402225111841078
"1960","tx","01502",11.2148371915531,1.3559227652706,0.0387411872348099
"1961","tx","01600",9.79243906942615,0.932702073476155,0.0137014918283226
"1962","tx","01700",7.14391859112812,0.937522124819964,0.000976703076282536
"1963","tx","01800",11.0251411662237,1.26102495324531,0.00209918402554896
"1964","tx","01901",6.18506205439116,0.856182454926794,0.0717585809910595
"1965","tx","01902",7.69691986594151,0.815265317862675,0.108329525937512
"1966","tx","01903",11.3726304375594,1.63235688783686,0.191045559554188
"1967","tx","01904",9.81237460518689,0.969410650581593,0.0723981562788167
"1968","tx","01905",13.4497771119378,1.28264134197385,0.103941811349455
"1969","tx","01906",33.2402438086632,1.90805601335533,0.0795126528460514
"1970","tx","01907",24.3638011460401,1.75810370515515,0.017448142971668
"1971","tx","02001",13.2298947982412,2.08871089331247,0.176738590512152
"1972","tx","02002",3.81355396876546,0.765312857468484,0.0346495850260826
"1973","tx","02003",7.61103095812573,0.827825860139844,0.0237089217184837
"1974","tx","02004",15.6695237222516,1.18582743470952,0.0897315891910456
"1975","tx","02005",16.7142000493802,0.913793671717247,0.139427815364257
"1976","tx","02006",12.2345212675714,1.21217886332819,0.00733989887514039
"1977","tx","02101",21.208438550243,1.66549698054366,0.00859841913733601
"1978","tx","02102",13.2379704184404,1.00333260712752,0.00695560030114004
"1979","tx","02200",10.1390151186514,0.971728495174563,0.00144684108629383
"1980","tx","02301",10.0559136004233,1.12924352615646,0.087782596613739
"1981","tx","02302",19.466770071943,2.25492529502409,0.281728202865213
"1982","tx","02303",34.023214840802,2.64895786677063,0.215731684301317
"1983","tx","02304",15.357547372321,1.87401432243088,0.0373655898951157
"1984","tx","02305",12.9840501636983,1.29827518885095,0.162682329786052
"1985","tx","02306",10.590050879793,1.07121696133856,0.145086632840453
"1986","tx","02307",7.15671846226794,1.43163001845728,0.15607556573792
"1987","tx","02308",8.00635458694008,1.13068134259851,0.123130613786074
"1988","tx","02309",7.60939344861211,1.15609137778975,0.106874251103945
"1989","tx","02310",2.31978759684922,0.62918025409526,0.0371871133002834
"1990","tx","02311",4.77015572187383,0.77956458929136,0.0744195233047451
"1991","tx","02312",5.37273939225779,0.821645418604953,0.05759453433661
"1992","tx","02313",0.856402688021831,0.272133043540461,0.0213298485912182
"1993","tx","02314",10.0364427370563,1.00960091912849,0.10399535749488
"1994","tx","02315",18.143168484973,1.77821900274165,0.25198559453142
"1995","tx","02316",7.23027952097411,0.94070771805544,0.12282791789027
"1996","tx","02317",16.9154818129947,2.4741087923058,0.102598846447068
"1997","tx","02318",15.7787826301349,2.23210958128942,0.0982271004086757
"1998","tx","02319",11.3860097135606,1.03896429542482,0.0936987814187495
"1999","tx","02320",20.0266062199297,2.77108153036249,0.211550481166789
"2000","tx","02321",27.9383434594757,3.55359240135789,0.240439616791556
"2001","tx","02322",11.3688275057776,1.46656701570918,0.0935696390354251
"2002","tx","02400",7.95174486416189,0.873626111202141,0.00337161543230367
"2003","tx","02501",7.47549348484982,0.856495587173444,0.0369860551772798
"2004","tx","02502",9.514679357901,0.86828612501378,0.0955402205892693
"2005","tx","02503",16.5212119304819,1.33807499234485,0.209888124920581
"2006","tx","02504",13.1832220359855,1.42290577830389,0.175561859630942
"2007","tx","02505",15.5565789015911,1.824176700468,0.134629824002094
"2008","tx","02506",16.2774678754674,1.34004016427656,0.0735155408420527
"2009","tx","02507",5.55889993884273,0.861043980613805,0.0583697505335588
"2010","tx","02508",10.7246495386142,0.798024372246013,0.128988837907867
"2011","tx","02509",8.58178186689878,0.906685881341657,0.0631003050556742
"2012","tx","02510",7.39660618845417,0.920433821360649,0.0661822755034345
"2013","tx","02511",7.49780246964978,1.21441568993356,0.0944510579568041
"2014","tx","02512",3.88631443688568,0.495513762193763,0.0382563561572898
"2015","tx","02513",13.1698223174614,1.05696808326335,0.177581932845274
"2016","tx","02514",10.7640980562764,1.10197564048693,0.034975890158093
"2017","tx","02515",4.40801869413351,0.553632089190343,0.022570296323876
"2018","tx","02516",18.310559072105,1.5367653438611,0.0503150789179991
"2019","tx","02600",10.609236526931,0.849146512480473,0.00024089566281876
"2020","tx","02700",5.42198862498815,0.519198374508105,0.00227571185692902
"2021","tx","02800",6.30057095666644,0.892053087451004,0.000118132697402953
"2022","tx","02900",6.1054055329431,0.591208050057432,0.0015288907407782
"2023","tx","03000",7.79346010058124,0.699780919509853,0.00333351631972934
"2024","tx","03100",31.2901579495024,2.87752050298901,0.0133865165214239
"2025","tx","03200",5.9745022892288,0.925561934814686,6.29586295166928e-05
"2026","tx","03301",5.80836952735466,0.406378613821777,0.00310178730319869
"2027","tx","03302",9.93368772831455,0.809789494441554,0.143614786630072
"2028","tx","03303",13.1989697513712,1.32161507473428,0.117788141715381
"2029","tx","03304",3.33860065212847,0.426168068946703,0.0390986398488676
"2030","tx","03305",10.2407919476737,1.08979375839881,0.0441471759247358
"2031","tx","03306",8.16782616574189,0.701161143938697,0.0313666589918671
"2032","tx","03400",10.4174746232844,0.800420639514745,0.000619931055487371
"2033","tx","03501",20.8866946922697,1.4559246265349,0.127241642498045
"2034","tx","03502",23.0137793482296,1.54444529549894,0.00866450830790162
"2035","tx","03601",14.7072090566728,1.32354293166601,0.00102396480686479
"2036","tx","03602",23.8983929680461,0.750789889354595,0.0155911106333988
"2037","tx","03700",7.76617874738098,0.782407691656355,0.000528132074865433
"2038","tx","03801",15.4747216395975,1.25943856430353,0.129843807419371
"2039","tx","03802",13.0130858347946,1.23440389250565,0.00494969894535281
"2040","tx","03900",10.4984933898953,0.705923439342076,0.000902013072635908
"2041","tx","04000",17.1789545251828,1.15217669518328,0.00359058479658839
"2042","tx","04100",6.37561949354872,0.970413925958709,0.000507241603433199
"2043","tx","04200",9.89864575133586,0.992843104446927,0.00298945376876998
"2044","tx","04301",5.51963537160194,0.753636724686229,0.0269956025461908
"2045","tx","04302",5.49561616439882,0.783856249379378,0.00205011650048329
"2046","tx","04400",9.2571513999952,0.85005981634483,0.0017436236197574
"2047","tx","04501",17.8236645748852,1.43634979248007,0.0134331924433526
"2048","tx","04502",32.9811170850754,3.02745704838217,0.0348800841795758
"2049","tx","04503",10.2975048174275,1.54223525796428,0.0779704175832757
"2050","tx","04504",21.7617686718697,1.9667210729209,0.0561532191662703
"2051","tx","04601",5.97793231568935,1.14585629972961,0.0882299140330961
"2052","tx","04602",2.45828134248713,0.378080797060463,0.0360172872184056
"2053","tx","04603",8.42034575721148,0.696933103559963,0.144595764185617
"2054","tx","04604",7.67393487830385,1.55531716220183,0.133074592649046
"2055","tx","04605",12.9813816009034,1.63844271120831,0.170359962813797
"2056","tx","04606",13.1823806103288,1.33370908643554,0.120859027151088
