"","state","PUMA","count","arrest_per_pop","arrest_density"
"1382","NJ","01002",194.777034439618,16.3006975010141,0.744985242455241
"1383","NJ","01003",268.764921787125,20.0510983129756,2.27495492440192
"1384","NJ","01101",260.750900891844,26.3757739117787,0.505113665028755
"1385","NJ","01102",260.481679587102,22.5408168559279,0.631709437974013
"1386","NJ","01103",360.196347967285,27.2876021187337,3.85686233788912
"1387","NJ","01104",253.30569926847,21.9692714022958,1.33445257431296
"1388","NJ","01105",222.061722356744,19.8198609743613,1.24210058236268
"1389","NJ","01106",301.341724747347,22.5572067330898,0.93959112802288
"1390","NJ","01201",294.250019852263,22.1223983048089,0.226951639403794
"1391","NJ","01202",335.79359293835,28.6025206932155,1.46405743501137
"1392","NJ","01203",472.368835803246,23.0255342823907,3.83922638167089
"1393","NJ","01204",200.059367196589,25.8574857433874,0.345516502269689
"1394","NJ","01205",252.531962336572,21.4774589502102,1.81397538932242
"1395","NJ","01301",447.481284644121,20.0484446525144,9.36778682612734
"1396","NJ","01302",770.289885572885,43.8287274863662,40.131645640822
"1397","NJ","01401",255.101719006054,18.9525794209549,8.11835943351341
"1398","NJ","01402",871.617324018666,41.6722759618793,21.3429082753844
"1399","NJ","01403",197.560792165119,19.3972304531291,2.12924209003633
"1400","NJ","01404",295.76045912072,26.4402341427428,2.87791389265109
"1401","NJ","01501",296.510579301273,20.5339736358222,0.826360203567577
"1402","NJ","01502",215.158591918381,16.426827906427,0.459610304739892
"1403","NJ","01503",193.760010270252,17.1317427294653,1.01937381855505
"1404","NJ","01504",424.085509248456,23.9691126009414,1.85851810598013
"1405","NJ","01600",400.397968222074,25.7540341044622,0.288493841418512
"1406","NJ","01700",247.018817839524,21.185147327575,0.263404406754611
"1407","NJ","01800",272.376885790885,16.2486956863858,7.72011614971939
"1408","NJ","01901",383.993945843993,32.9128264201588,9.37515035428421
"1409","NJ","01902",235.567372777574,19.5800326471261,2.73728042131241
"1410","NJ","01903",245.92262453943,23.7331233873219,4.86901253235653
"1411","NJ","01904",361.025966044522,26.5245732161136,6.02609853618858
"1412","NJ","02001",386.887247971859,23.6036390685046,2.26418689028112
"1413","NJ","02002",393.699791674552,26.8994118389281,1.3658645983443
"1414","NJ","02003",679.100711078253,35.8251060919104,0.408408020809951
"1415","NJ","02101",417.514385703601,23.2845009036641,6.27360831797443
"1416","NJ","02102",229.283967670007,22.4392217332166,2.9226794999672
"1417","NJ","02103",459.328086701065,26.5876410454425,1.36990213132164
"1418","NJ","02104",206.491702675115,21.9788933129447,1.9108923462078
"1419","NJ","02201",302.057639788906,23.7224251777983,1.7487706206505
"1420","NJ","02202",594.056224166833,26.9596652673852,0.849376713426326
"1421","NJ","02301",461.310238985341,27.029368898186,7.49776781393027
"1422","NJ","02302",649.905372144824,25.2537545033932,1.74268116246606
"1423","NJ","02303",189.060844286953,20.0446187751222,1.19959449526698
"1424","NJ","02400",312.603726639715,24.6009071094448,0.218236216247825
"1425","NJ","02500",273.429167704142,24.8775514242692,0.212816282896751
"1426","NJ","02600",276.787661458008,27.7203466657995,0.171012476865137
"1427","NM","00100",772.497676277649,55.647433819165,0.0208379838541183
"1428","NM","00200",561.400622418321,48.8132008015234,0.177417211965446
"1429","NM","00300",438.899966314522,35.8461259649234,0.011391152179707
"1430","NM","00400",569.459285695507,45.5458118607939,0.0100706126106638
"1431","NM","00500",397.062061977583,27.8933657869746,0.0802080851250645
"1432","NM","00600",523.148482636178,35.1460183161692,0.0543811238612926
"1433","NM","00700",315.164231333685,30.0471190136033,0.0789329759683066
"1434","NM","00801",361.51816021783,39.5231398510801,3.07173281024947
"1435","NM","00802",468.463476796523,34.4813393785164,9.03977898468396
"1436","NM","00803",337.01447826021,32.7325639335869,1.15923084861974
"1437","NM","00804",397.335178441556,30.8849730619165,4.09320002323576
"1438","NM","00805",390.464688020952,26.490141656781,0.358859827184927
"1439","NM","00806",425.827210854191,24.9913264190499,2.8141989512158
"1440","NM","00900",241.178838744393,21.9672865237629,0.00295104185859368
"1441","NM","01001",306.783965281819,16.2940283238697,0.0319612229203356
"1442","NM","01002",515.234885563483,28.118035667075,1.78513998908342
"1443","NM","01100",693.171645631994,34.684595728396,0.0152573740698207
"1444","NM","01200",280.375145533605,24.3212305285917,0.0125907671470292
"1445","NV","00101",1404.58660991463,57.7306457013821,9.95231102677347
"1446","NV","00102",812.961702577787,55.7319327193931,0.690454020379859
"1447","NV","00103",635.067811502509,40.6001669545141,0.0406978400766519
"1448","NV","00200",844.657748707418,53.7827283481323,0.102519963171165
"1449","NV","00300",1062.78401673587,58.2028486711866,0.00442673510383644
"1450","NV","00401",852.443826913643,58.992652381567,9.83102255801074
"1451","NV","00402",798.488723785605,55.577972004288,0.139013180737708
"1452","NV","00403",1655.98865217528,51.7690587775191,12.3822237649271
"1453","NV","00404",956.902156943956,49.2588364534107,0.183172572161922
"1454","NV","00405",823.48565257312,46.7225902169146,17.5405803705306
"1455","NV","00406",569.860083815534,37.3678743485596,10.7229741021836
"1456","NV","00407",882.597993657665,63.7392932517993,0.326639658481813
"1457","NV","00408",997.730522579602,48.7387290596259,4.34843444733598
"1458","NV","00409",1308.92825796949,66.2413086016947,14.889559276386
"1459","NV","00410",831.697972766196,41.7058455905223,14.3921463577489
"1460","NV","00411",1030.03247750743,51.2453968909168,5.15814552344809
"1461","NV","00412",926.321183801599,56.4623420578812,0.149073810163493
"1462","NV","00413",1113.46460607268,49.1509051855159,11.819022404971
"1463","NY","00100",287.393973299882,17.0762907486561,0.0394134875219628
"1464","NY","00200",333.398784185668,16.1475654664439,0.0197259054915608
"1465","NY","00300",192.230217050335,17.4374289777154,0.0418343927306589
"1466","NY","00401",191.783052921021,17.1925641345604,0.0339995513072494
"1467","NY","00402",320.729203956489,16.545225894067,0.478718059295575
"1468","NY","00403",251.406001066887,15.9158015362679,0.0507520743596838
"1469","NY","00500",329.820693216465,17.6035809786755,0.040530391748582
"1470","NY","00600",259.150352197046,16.2599041408612,0.0764041164481547
"1471","NY","00701",387.62946036461,15.2154757561866,5.87439824779383
"1472","NY","00702",197.285651812336,14.4552792945732,0.384916854383035
"1473","NY","00703",238.417997942032,14.3677231494535,0.451814012990877
"1474","NY","00704",170.358712156248,15.1848393044165,0.0530774070003558
"1475","NY","00800",194.236092609622,16.0274026412758,0.0423629126569692
"1476","NY","00901",108.455383264957,11.8310661355904,0.458337777399466
"1477","NY","00902",239.570124692228,16.3887073944608,6.56057721762793
"1478","NY","00903",252.993344660374,16.6115131096765,4.41115612362975
"1479","NY","00904",165.841014389235,14.9541040928075,0.962862828958709
"1480","NY","00905",245.774093687669,15.9211047280993,0.0959295263534838
"1481","NY","00906",411.169733918931,16.9094313998573,0.877596886968444
"1482","NY","01000",145.621758146523,15.2451589349375,0.0429082171995974
"1483","NY","01101",186.635959100167,17.774853247635,1.09701102780152
"1484","NY","01102",163.992211467272,14.2614324260607,0.0590710110758105
"1485","NY","01201",148.022120958537,16.6335679243215,0.992869221628238
"1486","NY","01202",296.416782423512,14.6465452329041,2.13962423858267
"1487","NY","01203",165.901675693999,16.3983073731342,0.26620880353563
"1488","NY","01204",216.067592516459,14.2637703007961,1.44540506717502
"1489","NY","01205",295.047907453922,16.1865211462542,4.03927181778837
"1490","NY","01206",285.781348781815,14.7866378010977,7.51293751844785
"1491","NY","01207",267.924320583171,17.8058297722583,0.133911886840707
"1492","NY","01300",233.890899916053,16.1359710186998,0.0731542191729447
"1493","NY","01400",229.94665945441,14.6118484752119,0.0856524019555299
"1494","NY","01500",299.232361900649,16.4476645908123,0.099524630448303
"1495","NY","01600",163.164379129545,15.5069738765962,0.0669112762331823
"1496","NY","01700",292.50464398069,14.276179607628,0.54014701531156
"1497","NY","01801",201.057313377555,15.68309776736,0.558556976517283
"1498","NY","01802",180.686091994378,16.3044659803626,0.0991854310674078
"1499","NY","01900",307.133457821564,17.2188965533197,0.17851637238382
"1500","NY","02001",419.873975834742,17.1966733221962,6.63931666163595
"1501","NY","02002",409.598848578107,16.0275022921469,0.311313930856955
"1502","NY","02100",168.29153581251,14.6531594090126,0.0498224044254513
"1503","NY","02201",383.391550573724,15.7787287255628,2.49673541425627
"1504","NY","02202",197.387880661486,17.6633450256363,0.0833590058331551
"1505","NY","02203",169.928250294003,15.4663011098573,0.0249930916847166
"1506","NY","02300",446.10243514449,13.3403838260912,0.350976708058014
"1507","NY","02401",152.813974855799,16.2257352788065,0.180157777283019
"1508","NY","02402",150.570505607048,17.160987646119,0.0318338491826574
"1509","NY","02500",279.662009533954,16.4885330778819,0.0458877758856357
"1510","NY","02600",235.190506766877,16.2525400294988,0.0606271321115759
"1511","NY","02701",204.576631005346,15.6440032886247,0.0476573652474428
"1512","NY","02702",210.556082793206,14.1740883738274,0.163644444974037
"1513","NY","02801",222.750963413132,13.5197234409524,0.12939790844046
"1514","NY","02802",344.077248266185,15.0016240088152,0.833248070075655
"1515","NY","02901",148.129431184109,11.5852832147746,0.333341169635795
"1516","NY","02902",239.837506835657,14.5771292065676,0.255151920941208
"1517","NY","02903",416.339733555975,17.9658122704745,0.531079338215519
"1518","NY","03001",153.971256429577,14.1752215457169,0.674253235126782
"1519","NY","03002",191.760332566902,15.0353091239535,1.17577232751467
"1520","NY","03003",244.189143644377,14.0483916490839,1.9597268263644
"1521","NY","03101",137.183176932481,13.8975966905563,0.213765174619236
"1522","NY","03102",236.912216777688,11.6373031131589,0.878709981375331
"1523","NY","03103",211.023224407293,15.5461341098639,0.343836061744823
"1524","NY","03104",170.440438371082,10.9791573287221,1.11841596945246
"1525","NY","03105",260.66049659923,16.6748014712916,1.91403578108304
"1526","NY","03106",327.901231724133,13.9366385465885,6.25373234349052
"1527","NY","03107",277.238572268732,13.1398915715784,4.32713537287676
"1528","NY","03201",156.273014877547,12.9407928848582,1.11712576772325
"1529","NY","03202",208.400117545165,16.0332449257705,0.662267641468038
"1530","NY","03203",102.971607169035,8.68226030093043,1.73998000391626
"1531","NY","03204",141.988035199168,11.0034125231841,3.63633074274029
"1532","NY","03205",205.082340718275,14.1436097047086,5.56321020760715
"1533","NY","03206",275.557910586063,14.7601859010157,6.6381341848012
"1534","NY","03207",176.744121926901,15.6217183955189,4.05803311476474
"1535","NY","03208",176.586023336359,16.5590794576481,0.745257855887639
"1536","NY","03209",144.891181700392,15.2984037272086,2.91085857206289
"1537","NY","03210",153.117372426402,14.6467737159367,1.24983470444293
"1538","NY","03211",173.673983293963,12.2590515489492,5.31621322879003
"1539","NY","03212",176.428456904724,14.052445790898,3.1290179675751
"1540","NY","03301",93.4493465129598,10.9004253485314,0.598951806061911
"1541","NY","03302",138.434335850304,14.7348947153064,1.09403961570427
"1542","NY","03303",186.80589572442,17.5817313622984,1.18425832757405
"1543","NY","03304",292.652854084502,13.9531254927292,1.42908718546306
"1544","NY","03305",234.053046434935,12.9346806540445,0.0552419279380097
"1545","NY","03306",212.005259290293,14.1781086932584,0.416979485671113
"1546","NY","03307",174.972059626204,11.3817771174269,1.50436074840568
"1547","NY","03308",212.283624379335,15.5964752317489,2.84354380256684
"1548","NY","03309",134.501000180856,14.6947449121443,1.22775109812357
"1549","NY","03310",159.467534585204,9.6664566033342,2.19023108355008
"1550","NY","03311",193.445627915777,16.5692186651629,1.09034673596227
"1551","NY","03312",169.323870366701,17.4165676164062,1.35830912180883
"1552","NY","03313",224.781212309787,14.1070172153751,3.08816985247055
"1553","NY","03701",114.93079247558,10.086072178638,9.34937828475557
"1554","NY","03702",259.894488373122,17.2412424288923,14.8833139842609
"1555","NY","03703",176.275163518216,14.906990572365,3.33464880190851
"1556","NY","03704",216.133713045453,12.8041299197543,21.9306273889076
"1557","NY","03705",280.084664488545,11.0714153090578,24.6139455769056
"1558","NY","03706",71.655137220094,4.92779982257713,17.5461607404277
"1559","NY","03707",143.325980465962,7.34515351129819,36.4608573522667
"1560","NY","03708",167.260199586179,8.97703947972193,32.3108988722048
"1561","NY","03709",262.158540387402,12.1968242480414,18.1323056997233
"1562","NY","03710",234.625642423901,11.8972487411338,13.879846828441
"1563","NY","03801",164.723000531449,8.39823598100588,13.3750950252524
"1564","NY","03802",236.453484635546,11.370689330875,35.3611434749296
"1565","NY","03803",141.057810911383,17.0072113469234,35.8075660929272
"1566","NY","03804",122.437296853594,10.1861311858231,14.8123759511201
"1567","NY","03805",206.33652734256,12.9730605056623,29.5312439350227
