"","state","PUMA","count","disconnected_per_pop","disconnected_density"
"169","ca","08104",748,74.4278606965174,0.511439054460967
"170","ca","07501",1107,85.0034554250173,2.99846297628981
"171","ca","04101",483,42.5063803573,0.243638129183524
"172","ca","09701",1130,80.3698435277383,0.283185127564192
"173","ca","03300",4151,283.441447593035,0.308044459797653
"174","ca","02300",1982,101.531683827673,0.18907735767311
"175","ca","08900",2162,116.78280127478,0.217233838234235
"176","ca","10100",2329,115.405579505475,0.718716203256965
"177","ca","03900",4958,246.213437950042,0.88940668494643
"178","ca","01907",3422,182.215122470714,0.440864157090399
"179","ca","10703",2923,147.925101214575,0.262649639735586
"180","ca","02905",5204,237.701548440141,0.397210872642811
"181","ca","06515",1807,128.712871287129,1.08385234647441
"182","ca","07307",536,46.4753316569843,0.835935712907446
"183","ca","07505",249,37.4605085000752,15.1614069803815
"184","ca","06711",1006,74.6180091974485,0.678566534604024
"185","ca","07704",5641,238.701760324983,2.15760621986203
"186","ca","09901",3203,188.300999412111,1.61963009573736
"187","ca","01904",6063,250.361316430607,31.7619929469562
"188","ca","01903",2290,151.595392559248,38.9938279964407
"189","ca","01905",2632,187.906046976512,25.5629369019562
"190","ca","08512",1033,86.4290495314592,10.3016145598468
"191","ca","08502",1171,92.0887071406103,10.8498452506451
"192","ca","00108",1221,104.225352112676,6.45609119300515
"193","ca","00107",2036,130.354055957488,12.8498605362263
"194","ca","00101",693,22.2229348383787,17.1937766644724
"195","ca","01301",2074,151.166180758017,28.7390380814327
"196","ca","01303",2259,190.858398107469,9.21879481211547
"197","ca","09501",2342,133.660541034129,8.32675494490154
"198","ca","05500",1754,114.880796436992,0.859403314449442
"199","ca","11300",3503,71.7195913436931,1.3223771692955
"200","ca","06705",1496,112.211221122112,9.20145716899733
"201","ca","06706",2128,150.825714083209,22.3297912987774
"202","ca","03725",1871,118.021825521983,27.8680391077117
"203","ca","08506",935,80.3609798023206,0.431904261037059
"204","ca","08507",877,56.4350064350064,3.27733106474147
"205","ca","07507",1835,168.751149530991,71.7326078845476
"206","ca","07320",2329,124.465583582728,21.3359644125878
"207","ca","07316",1987,93.6160188457008,31.368809504468
"208","ca","07309",983,55.1132540928459,4.16227056947348
"209","ca","07304",432,37.7556371263765,4.10154115764395
"210","ca","07301",3308,88.7410467580546,4.99258353500578
"211","ca","05901",2380,156.981729437372,17.8389547733149
"212","ca","05903",1049,60.1180583414522,5.14254853149709
"213","ca","05918",1640,97.0012420890755,23.4113486018954
"214","ca","07112",2563,147.003154574133,42.1557259659433
"215","ca","07111",2064,99.3836671802773,19.2290382960552
"216","ca","07115",1421,87.3762528438787,19.310526954758
"217","ca","07108",4423,162.723961590817,48.4236195336463
